# Center_x Center_y Value Xtype1 j1 k1 Xtype2 j2 k2
0.75 0.75 1.5877353245595635966098205503368957433596e-10 0 2 22 1 6 289
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 -1.4743256585195945651781651073819294495149e-10 1 2 19 1 6 288
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 -6.8045799623981284442143725905982609702960e-10 1 2 20 1 6 287
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -1.1908014934196726328338800570473847081909e-10 1 2 21 1 6 286
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 6.8045799623981289612022554362405577649264e-11 1 2 22 1 6 285
8.7500000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -7.3716282925979728258908255369096472475743e-11 1 2 24 1 6 283
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.2049777016746686971393516317114683955927e-11 1 7 603 1 3 38
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -3.6858141462989864129454127684548236237871e-11 1 6 301 1 4 81
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 2.8352416509992209390299843959776248964594e-11 1 6 302 1 4 80
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -5.6704833019984418780599687919552497929188e-11 1 6 303 1 4 79
8.0468750000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 2.5517174858992986835682725671166446584914e-11 1 6 305 1 4 77
7.9687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.9846691556994538495274221308682486859115e-11 1 6 307 1 4 75
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 6.6450976195294233185450569159012251558172e-13 0 2 0 0 2 0
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.1794605268156758589376852241624622774641e-09 1 4 71 1 4 86
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -3.4022899811990647390950691409414272797784e-10 1 4 72 1 4 85
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.9846691556994538495274221308682486859115e-11 1 7 627 1 2 22
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.4099554033493377173961300419493722878295e-11 1 7 628 1 2 21
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.5877353245595635966098205503368957433596e-10 1 7 629 1 2 20
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -7.9840404892138065778987423355868291441340e-09 1 4 75 1 4 82
