# Center_x Center_y Value Xtype1 j1 k1 Xtype2 j2 k2
0.75 0.75 1.5877353245595447265520966843930627393489e-10 0 2 22 1 6 289
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 -1.4743256585195775045780312011861352267106e-10 1 2 19 1 6 288
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 -6.8045799623980498620561800529691481864702e-10 1 2 20 1 6 287
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -1.1908014934196586741610432247053712531693e-10 1 2 21 1 6 286
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 6.8045799623980501205501214757902965837855e-11 1 2 22 1 6 285
8.7500000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -7.3716282925978875228901560059306761335529e-11 1 2 24 1 6 283
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.2049777016746548030900001550747420398998e-11 1 7 603 1 3 38
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -3.6858141462989437614450780029653380667765e-11 1 6 301 1 4 81
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 2.8352416509991876579350262077547687421253e-11 1 6 302 1 4 80
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -5.6704833019983753158700524155095374842506e-11 1 6 303 1 4 79
8.0468750000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 2.5517174858992689567650089426845789672416e-11 1 6 305 1 4 77
7.9687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.9846691556994309081901208554913284241861e-11 1 6 307 1 4 75
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 6.6450976195293455684142383329776837758499e-13 0 2 0 0 2 0
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.1794605268156620036624249609489081813685e-09 1 4 71 1 4 86
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -3.4022899811990249310280900264845740932351e-10 1 4 72 1 4 85
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.9846691556994309081901208554913284241861e-11 1 7 627 1 2 22
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.4099554033493096061800003101494840797997e-11 1 7 628 1 2 21
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.5877353245595447265520966843930627393489e-10 1 7 629 1 2 20
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -7.9840404892137122793089112904318938035431e-09 1 4 75 1 4 82
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.7011449905995125301375303689475741459464e-11 1 7 630 1 2 19
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -1.1794605268156620036624249609489081813685e-09 1 4 76 1 4 81
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -8.5057249529975623275702250662114352330878e-11 1 7 631 0 2 22
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -1.3790615390460048933632089985124730135979e-08 1 4 77 1 4 80
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 5.3869591368984566147000351504393477093668e-11 1 7 632 0 2 21
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -8.5057249529975623275702250662114352330878e-11 1 7 632 1 2 17
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 5.3869591368984566147000351504393477093668e-11 1 4 78 1 4 79
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -7.7118572907177907397760009924783490553590e-10 1 7 633 0 2 20
8.1250000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 5.3869591368984566147000351504393477093668e-11 1 4 79 1 4 78
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.5517174858992686336475821641581434705975e-11 0 2 0 0 2 1
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.0206869943597075827060035770738315868966e-10 1 7 634 0 2 19
8.1250000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 -1.3790615390460048933632089985124730135979e-08 1 4 80 1 4 77
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.5517174858992686336475821641581434705975e-11 0 2 1 0 2 0
8.3203125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 7.2582186265579197839282076770814518262842e-10 1 7 635 0 2 18
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.0887327939836880192880194361264474534057e-09 1 4 81 1 4 76
8.3203125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.3042111594596264131229915535545955604380e-10 1 7 636 0 2 17
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -7.6211295578858155146306766381143760202832e-09 1 4 82 1 4 75
8.7500000000000000000000000000000000000000e-01 7.8125000000000000000000000000000000000000e-01 -3.4022899811990249310280900264845740932351e-10 1 4 85 1 4 72
8.7500000000000000000000000000000000000000e-01 7.8125000000000000000000000000000000000000e-01 -1.1794605268156620036624249609489081813685e-09 1 4 86 1 4 71
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.6084223189192528262459831071091911208759e-10 1 4 71 1 5 146
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -9.9233457784971545409506042774566421209304e-12 0 2 0 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 9.0727732831974005053920838648152599748009e-10 0 2 1 0 2 1
7.5000000000000000000000000000000000000000e-01 7.6562500000000000000000000000000000000000e-01 -2.4950126528792850872840347782599668136072e-10 1 4 74 1 5 143
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -9.9233457784971545409506042774566421209304e-12 0 2 2 0 2 0
8.4375000000000000000000000000000000000000e-01 7.1875000000000000000000000000000000000000e-01 3.6858141462989437614450780029653380667765e-11 1 4 77 1 5 140
8.1250000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -3.9693383113988618163802417109826568483721e-11 1 4 79 1 5 138
8.1250000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 1.0206869943597075827060035770738315868966e-10 1 4 80 1 5 137
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 7.4425093338728667135065201544085703323078e-12 0 2 0 0 2 3
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -3.6291093132789598919641038385407259131421e-10 0 2 1 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -3.6291093132789598919641038385407259131421e-10 0 2 2 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 7.4425093338728667135065201544085703323078e-12 0 2 3 0 2 0
7.9199218750000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.7720260318744922862093913798467304638283e-12 1 9 2429 0 2 20
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 5.6704833019983748311939122477198842392845e-12 0 2 0 0 2 4
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.7218319849592200482200485903161186335142e-10 0 2 1 0 2 3
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.4743256585195775045780312011861352267106e-10 0 2 2 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.7218319849592190142442828990315250442533e-10 0 2 3 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 5.6704833019983748311939122477198842392845e-12 0 2 4 0 2 0
8.7500000000000000000000000000000000000000e-01 8.2812500000000000000000000000000000000000e-01 5.4436639699184380284885657980630500885066e-10 0 2 17 1 7 637
