# Center_x Center_y Value Xtype1 j1 k1 Xtype2 j2 k2
0.75 0.75 1.5877353245595405906490339192546883823054e-10 0 2 22 1 6 289
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 -1.4743256585195733686749684360477608696671e-10 1 2 19 1 6 288
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 -6.8045799623980312504923976098464635797747e-10 1 2 20 1 6 287
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -1.1908014934196555722337461508515904853867e-10 1 2 21 1 6 286
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 6.8045799623980307335045147642041667851442e-11 1 2 22 1 6 285
8.7500000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -7.3716282925978668433748421802388043483356e-11 1 2 24 1 6 283
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.2049777016746514103570189805471693251376e-11 1 7 603 1 3 38
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -3.6858141462989334216874210901194021741678e-11 1 6 301 1 4 81
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 2.8352416509991799031167835231203168226688e-11 1 6 302 1 4 80
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -5.6704833019983598062335670462406336453376e-11 1 6 303 1 4 79
8.0468750000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 2.5517174858992618481816198151029980410731e-11 1 6 305 1 4 77
7.9687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.9846691556994257383112923990683604778817e-11 1 6 307 1 4 75
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 6.6450976195293273930589820408656870896237e-13 0 2 0 0 2 0
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.1794605268156586949399747488382086957337e-09 1 4 71 1 4 86
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -3.4022899811990156252461988049232317898873e-10 1 4 72 1 4 85
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.9846691556994257383112923990683604778817e-11 1 7 627 1 2 22
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.4099554033493028207140379610943386502753e-11 1 7 628 1 2 21
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.5877353245595405906490339192546883823054e-10 1 7 629 1 2 20
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -7.9840404892136907726129849117123471469171e-09 1 4 75 1 4 82
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.7011449905995076833761286910510416962861e-11 1 7 630 1 2 19
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -1.1794605268156586949399747488382086957337e-09 1 4 76 1 4 81
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -8.5057249529975390631154970123080794747183e-11 1 7 631 0 2 22
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -1.3790615390460010883323912545851686051179e-08 1 4 77 1 4 80
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 5.3869591368984417512984033382233148637419e-11 1 7 632 0 2 21
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -8.5057249529975390631154970123080794747183e-11 1 7 632 1 2 17
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 5.3869591368984417512984033382233148637419e-11 1 4 78 1 4 79
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -7.7118572907177690262849214755018836808809e-10 1 7 633 0 2 20
8.1250000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 5.3869591368984417512984033382233148637419e-11 1 4 79 1 4 78
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.5517174858992618481816198151029980410731e-11 0 2 0 0 2 1
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.0206869943597047392726479260411992164292e-10 1 7 634 0 2 19
8.1250000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 -1.3790615390460010883323912545851686051179e-08 1 4 80 1 4 77
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.5517174858992618481816198151029980410731e-11 0 2 1 0 2 0
8.3203125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 7.2582186265579001383886595426741736303278e-10 1 7 635 0 2 18
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.0887327939836849173607223622726666856231e-09 1 4 81 1 4 76
8.3203125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.3042111594596227942078116340585179980249e-10 1 7 636 0 2 17
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -7.6211295578857956622959753654501791064746e-09 1 4 82 1 4 75
8.7500000000000000000000000000000000000000e-01 7.8125000000000000000000000000000000000000e-01 -3.4022899811990156252461988049232317898873e-10 1 4 85 1 4 72
8.7500000000000000000000000000000000000000e-01 7.8125000000000000000000000000000000000000e-01 -1.1794605268156586949399747488382086957337e-09 1 4 86 1 4 71
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.6084223189192455884156232681170359960499e-10 1 4 71 1 5 146
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -9.9233457784971286915564619953418023894087e-12 0 2 0 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 9.0727732831973756899737072739850138325401e-10 0 2 1 0 2 1
7.5000000000000000000000000000000000000000e-01 7.6562500000000000000000000000000000000000e-01 -2.4950126528792783664415577849101084834116e-10 1 4 74 1 5 143
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -9.9233457784971286915564619953418023894087e-12 0 2 2 0 2 0
8.4375000000000000000000000000000000000000e-01 7.1875000000000000000000000000000000000000e-01 3.6858141462989334216874210901194021741678e-11 1 4 77 1 5 140
8.1250000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -3.9693383113988514766225847981367209557635e-11 1 4 79 1 5 138
8.1250000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 1.0206869943597047392726479260411992164292e-10 1 4 80 1 5 137
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 7.4425093338728473264609134428224405336666e-12 0 2 0 0 2 3
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -3.6291093132789500691943297713370868151639e-10 0 2 1 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -3.6291093132789500691943297713370868151639e-10 0 2 2 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 7.4425093338728473264609134428224405336666e-12 0 2 3 0 2 0
7.9199218750000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.7720260318744874394479897019501980141680e-12 1 9 2429 0 2 20
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 5.6704833019983594831161402677141981486936e-12 0 2 0 0 2 4
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.7218319849592122934018059056816667140577e-10 0 2 1 0 2 3
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.4743256585195733686749684360477608696671e-10 0 2 2 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.7218319849592122934018059056816667140577e-10 0 2 3 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 5.6704833019983594831161402677141981486936e-12 0 2 4 0 2 0
8.7500000000000000000000000000000000000000e-01 8.2812500000000000000000000000000000000000e-01 5.4436639699184245868036118113633334281154e-10 0 2 17 1 7 637
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.4709200459895647099084704352382438050997e-15 0 2 0 1 2 1
1.2500000000000000000000000000000000000000e-01 3.7500000000000000000000000000000000000000e-01 5.1034349717985236963632396302059960821462e-11 0 2 0 0 2 5
8.7500000000000000000000000000000000000000e-01 8.3203125000000000000000000000000000000000e-01 2.0413739887194094785452958520823984328585e-10 0 2 18 1 7 636
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.1547836547593767005193613352893259454968e-10 0 2 1 0 2 4
8.7500000000000000000000000000000000000000e-01 8.3203125000000000000000000000000000000000e-01 -1.9279643226794422565712303688754709202202e-10 0 2 19 1 7 635
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -1.0773918273796883502596806676446629727484e-10 0 2 2 0 2 3
8.7500000000000000000000000000000000000000e-01 8.2031250000000000000000000000000000000000e-01 -5.8973026340782934746998737441910434786685e-10 0 2 20 1 7 634
