# Center_x Center_y Value Xtype1 j1 k1 Xtype2 j2 k2
0.75 0.75 -1.5828406384557715589615779564061160203381e-10 0 2 22 1 6 289
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 1.4155930778416354447521482262634757651187e-10 1 2 19 1 6 288
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 6.5710093461185352503490501405061623152459e-10 1 2 20 1 6 287
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 1.2536353974303856130935302141206398943152e-10 1 2 21 1 6 286
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -6.7122756910061005936184684668492856154942e-11 1 2 22 1 6 285
8.7500000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 7.1518968784125449090417855996736594403895e-11 1 2 24 1 6 283
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.1830836162755209764716575467601700601475e-11 1 7 603 1 3 38
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 3.5847402369469161710651620307273388515990e-11 1 6 301 1 4 81
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -2.9030370345161091385036415287456172066444e-11 1 6 302 1 4 80
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 5.4948394947642077149567221810961365965897e-11 1 6 303 1 4 79
8.0468750000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 -2.6174849359459386784043031173868512975766e-11 1 6 305 1 4 77
7.9687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.9857798516598398834437996322923615771100e-11 1 6 307 1 4 75
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -6.8260791072954567534404257785205867765672e-13 0 2 0 0 2 0
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.1838575613480617987355390024139210891629e-09 1 4 71 1 4 86
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 3.4470324390907180399761609196926468584588e-10 1 4 72 1 4 85
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.9580397519572419915267231062021497430686e-11 1 7 627 1 2 22
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 2.3618408289283122661585249983213715980340e-11 1 7 628 1 2 21
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.6191187131849639581266978605200192176117e-10 1 7 629 1 2 20
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 8.0526910048846042335240493457992894121844e-09 1 4 75 1 4 82
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.6911623881000407749029522700401058452752e-11 1 7 630 1 2 19
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 1.1111320241334307965650840280768217593899e-09 1 4 76 1 4 81
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 8.4214501848602593192280605129942851888591e-11 1 7 631 0 2 22
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 1.4015772847872293727265512262424723699539e-08 1 4 77 1 4 80
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 8.3745620982492380361904151005593248402459e-11 1 7 632 1 2 17
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -5.2639864157995986020400903444786525932353e-11 1 7 632 0 2 21
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -5.4578292042405178247420532888070968634275e-11 1 4 78 1 4 79
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 7.8502473314253816606150729979444330419724e-10 1 7 633 0 2 20
8.1250000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 -5.4578291690380903912159925149509402154957e-11 1 4 79 1 4 78
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -2.4652421580369972307249135560445205475610e-11 0 2 0 0 2 1
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.0221270741555953297634948487027919603043e-10 1 7 634 0 2 19
8.1250000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 1.4015772845543833242487942751432900001518e-08 1 4 80 1 4 77
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -2.4652421568545141107468039844895181175732e-11 0 2 1 0 2 0
8.3203125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -7.3455304304105911760476980659046418453695e-10 1 7 635 0 2 18
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.1111320150769433575838353368847068181058e-09 1 4 81 1 4 76
8.3203125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.3078219554544614667183372289950820527293e-10 1 7 636 0 2 17
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 8.0526910062839307865289803088811038112027e-09 1 4 82 1 4 75
8.7500000000000000000000000000000000000000e-01 7.8125000000000000000000000000000000000000e-01 3.4470324396260041919472418799400264405319e-10 1 4 85 1 4 72
8.7500000000000000000000000000000000000000e-01 7.8125000000000000000000000000000000000000e-01 1.1838575613617018002413852905156319006430e-09 1 4 86 1 4 71
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 2.5835459620862072327925696972757661773468e-10 1 4 71 1 5 146
