# Center_x Center_y Value Xtype1 j1 k1 Xtype2 j2 k2
0.75 0.75 1.5877353245595274074580213553761201192294e-10 0 2 22 1 6 289
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 -1.4743256585195612194597215634537861958520e-10 1 2 19 1 6 288
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 -6.8045799623979754158010502804784097596880e-10 1 2 20 1 6 287
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -1.1908014934196454909700306608268029900932e-10 1 2 21 1 6 286
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 6.8045799623979751573071088576572613623727e-11 1 2 22 1 6 285
8.7500000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -7.3716282925978060972986078172689309792598e-11 1 2 24 1 6 283
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.2049777016746415552755022354908866774950e-11 1 7 603 1 3 38
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -3.6858141462989030486493039086344654896299e-11 1 6 301 1 4 81
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 2.8352416509991566386620554692169610642993e-11 1 6 302 1 4 80
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -5.6704833019983132773241109384339221285987e-11 1 6 303 1 4 79
8.0468750000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 2.5517174858992408455488792108846907592118e-11 1 6 305 1 4 77
7.9687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.9846691556994092593225266942201501490367e-11 1 6 307 1 4 75
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 6.6450976195292728669932131645296970309453e-13 0 2 0 0 2 0
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.1794605268156489755677772507630289566816e-09 1 4 71 1 4 86
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -3.4022899811989877079005251402392048798440e-10 1 4 72 1 4 85
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.9846691556994092593225266942201501490367e-11 1 7 627 1 2 22
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.4099554033492831105510044709817733549900e-11 1 7 628 1 2 21
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.5877353245595274074580213553761201192294e-10 1 7 629 1 2 20
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -7.9840404892136245981639806694983574342217e-09 1 4 75 1 4 82
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.7011449905994937893267772144143153405932e-11 1 7 630 1 2 19
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -1.1794605268156489755677772507630289566816e-09 1 4 76 1 4 81
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -8.5057249529974692697513128505980121996100e-11 1 7 631 0 2 22
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -1.3790615390459896732399380228032553796780e-08 1 4 77 1 4 80
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -8.5057249529974692697513128505980121996100e-11 1 7 632 1 2 17
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 5.3869591368983971610935079015752163268671e-11 1 7 632 0 2 21
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 5.3869591368983971610935079015752163268671e-11 1 4 78 1 4 79
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -7.7118572907177059537632143071416747359681e-10 1 7 633 0 2 20
8.1250000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 5.3869591368983971610935079015752163268671e-11 1 4 79 1 4 78
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.5517174858992405224314524323582552625678e-11 0 2 0 0 2 1
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.0206869943596963382195516843538763036847e-10 1 7 634 0 2 19
8.1250000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 -1.3790615390459896732399380228032553796780e-08 1 4 80 1 4 77
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.5517174858992405224314524323582552625678e-11 0 2 1 0 2 0
8.3203125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 7.2582186265578401677942494481677454531976e-10 1 7 635 0 2 18
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.0887327939836760251691374172251618179796e-09 1 4 81 1 4 76
8.3203125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.3042111594596121959562132983914337081011e-10 1 7 636 0 2 17
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -7.6211295578857311422081962292915391365966e-09 1 4 82 1 4 75
8.7500000000000000000000000000000000000000e-01 7.8125000000000000000000000000000000000000e-01 -3.4022899811989877079005251402392048798440e-10 1 4 85 1 4 72
8.7500000000000000000000000000000000000000e-01 7.8125000000000000000000000000000000000000e-01 -1.1794605268156489755677772507630289566816e-09 1 4 86 1 4 71
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.6084223189192243919124265967828674162021e-10 1 4 71 1 5 146
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -9.9233457784970462966126334711007507451835e-12 0 2 0 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 9.0727732831973012437185775014942754057579e-10 0 2 1 0 2 1
7.5000000000000000000000000000000000000000e-01 7.6562500000000000000000000000000000000000e-01 -2.4950126528792576869262439592182366981943e-10 1 4 74 1 5 143
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -9.9233457784970462966126334711007507451835e-12 0 2 2 0 2 0
8.4375000000000000000000000000000000000000e-01 7.1875000000000000000000000000000000000000e-01 3.6858141462989030486493039086344654896299e-11 1 4 77 1 5 140
8.1250000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -3.9693383113988185186450533884403002980734e-11 1 4 79 1 5 138
8.1250000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 1.0206869943596963382195516843538763036847e-10 1 4 80 1 5 137
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 7.4425093338727843185626916301675186880826e-12 0 2 0 0 2 3
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -3.6291093132789200838971247240838727265988e-10 0 2 1 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -3.6291093132789200838971247240838727265988e-10 0 2 2 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 7.4425093338727843185626916301675186880826e-12 0 2 3 0 2 0
7.9199218750000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.7720260318744728991637846682606006651871e-12 1 9 2429 0 2 20
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 5.6704833019983126310892573813810511353106e-12 0 2 0 0 2 4
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.7218319849591900629228435430629045449491e-10 0 2 1 0 2 3
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.4743256585195612194597215634537861958520e-10 0 2 2 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.7218319849591890289470778517783109556882e-10 0 2 3 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 5.6704833019983126310892573813810511353106e-12 0 2 4 0 2 0
8.7500000000000000000000000000000000000000e-01 8.2812500000000000000000000000000000000000e-01 5.4436639699183780578941557035566219113765e-10 0 2 17 1 7 637
1.2500000000000000000000000000000000000000e-01 3.7500000000000000000000000000000000000000e-01 5.1034349717984816910977584217693815184236e-11 0 2 0 0 2 5
