# It Res SizeLambda SizeTestRes CG_Its
0 0.157752 1728 4608 36
1 0.124999 1740 4836 6
2 0.087419 1760 5080 6
3 0.062842 1772 5136 5
4 0.0450089 1801 5471 5
5 0.0324556 1844 5814 5
6 0.0196387 1898 6196 5
7 0.0148074 1940 6558 4
8 0.0110814 1986 6966 4
9 0.00706191 2091 7931 4
10 0.00430469 2206 8468 4
11 0.00319461 2266 8696 3
12 0.00236804 2364 9387 3
13 0.00167925 2491 10406 3
14 0.0012482 2610 11275 3
15 0.00094169 2775 12261 3
16 0.000666697 2967 13462 3
17 0.000459701 3162 14331 4
18 0.000316058 3415 15744 4
19 0.000208999 3805 18422 4
20 0.0001407 4230 21205 4
21 8.63042e-05 4759 23955 4
22 5.8732e-05 5231 25931 4
23 3.61431e-05 6024 30576 9
24 2.49836e-05 6738 34645 4
25 1.61493e-05 7758 40086 4
26 1.05728e-05 8750 44542 4
27 6.95914e-06 9884 49720 8
28 4.71519e-06 11212 57388 4
29 3.17562e-06 12850 66619 4
30 2.06341e-06 14865 76788 4
