# It Res SizeLambda SizeTestRes CG_Its
0 0.201365 1728 4608 35
1 0.16544 1732 4755 6
2 0.118215 1741 4910 6
3 0.0826661 1749 5041 6
4 0.0541326 1770 5430 6
5 0.0401403 1791 5699 5
6 0.0242562 1834 6168 5
7 0.0161205 1888 6569 4
8 0.0120615 1934 7087 4
9 0.00851562 2010 7835 4
10 0.00596922 2088 8317 3
11 0.00445416 2169 8890 3
12 0.0032717 2261 9547 4
13 0.00212308 2403 10620 4
14 0.00146788 2580 12250 3
15 0.00105934 2742 13271 3
16 0.000775281 2898 14222 3
17 0.000517121 3140 15558 4
18 0.00032976 3493 18043 4
19 0.000210266 3915 20935 4
20 0.000131119 4434 24094 4
21 8.30501e-05 5008 27097 4
22 5.4828e-05 5612 30441 4
23 3.57153e-05 6363 35403 4
24 2.39481e-05 7167 40541 8
25 1.47315e-05 8245 46402 4
26 9.63849e-06 9321 51350 4
27 6.29448e-06 10647 59286 4
28 4.21672e-06 12214 69280 4
29 2.6427e-06 14289 81452 8
30 1.73697e-06 16365 91963 4
