# Center_x Center_y Value Xtype1 j1 k1 Xtype2 j2 k2
0.75 0.75 -2.8060844758375021432644111546211764668390e-10 0 2 22 1 6 289
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 2.5095854019200665244152606829942248056753e-10 1 2 19 1 6 288
7.5000000000000000000000000000000000000000e-01 7.5781250000000000000000000000000000000000e-01 1.1649187460030950853109079026911042153980e-09 1 2 20 1 6 287
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 2.2224643098131315908686237426653171944668e-10 1 2 21 1 6 286
7.5000000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 -1.1899626631048217094490891038892832129448e-10 1 2 22 1 6 285
8.7500000000000000000000000000000000000000e-01 7.3437500000000000000000000000000000000000e-01 1.2678993902306803112226798847610685638809e-10 1 2 24 1 6 283
7.8125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 2.0973890160460372233185182801221645414874e-11 1 7 603 1 3 38
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 6.3550831867827774598290770295227862518583e-11 1 6 301 1 4 81
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -5.1465491581543176716526449391927067363028e-11 1 6 302 1 4 80
7.8125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 9.7413368275150407493030403680809052244238e-11 1 6 303 1 4 79
8.0468750000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 -4.6403179612965516051022939905223822776303e-11 1 6 305 1 4 77
7.9687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -3.5204213733164634969224024129823844356246e-11 1 6 307 1 4 75
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -1.2101379095565673926028458234046208475201e-12 0 2 0 0 2 0
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 2.0987610778951228692286505540451346796260e-09 1 4 71 1 4 86
7.8125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 6.1109526632304890891987279259028875699755e-10 1 4 72 1 4 85
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -3.4712432935764925482286619731631268324923e-11 1 7 627 1 2 22
8.1250000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 4.1871081165320385397694795585015045333299e-11 1 7 628 1 2 21
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 2.8703988103558375967759872465041512401562e-10 1 7 629 1 2 20
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 1.4275935725006587362148799370212964854332e-08 1 4 75 1 4 82
8.2421875000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 2.9981189565600121832691027819794223237271e-11 1 7 630 1 2 19
7.5000000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 1.9698321156124672960362910055943236331544e-09 1 4 76 1 4 81
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.4929677728536253657496404323061023680652e-10 1 7 631 0 2 22
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 2.4847379862352569559597918681832784404406e-08 1 4 77 1 4 80
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.4846553800110159935799544135060813732085e-10 1 7 632 1 2 17
8.2031250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -9.3320769024515363689586688261890434423207e-11 1 7 632 0 2 21
8.4375000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -9.6757244094600674824607717114990359727478e-11 1 4 78 1 4 79
8.2031250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.3917040435408982627437868219606731390314e-09 1 7 633 0 2 20
8.1250000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 -9.6757243470526571489218658879091251867610e-11 1 4 79 1 4 78
