# It Res Res_NE SizeTrial SizeTest SizeTestResNE SizeTestRes CGLS_Its
0 0.00855484 0.00635756 320 591 928 2287 153
1 0.0062227 0.00522638 477 1711 1729 4778 56
2 0.00495178 0.00378593 722 3166 3119 9418 14
3 0.00353579 0.00254722 1341 6543 6435 19980 25
4 0.00222539 0.00174855 2214 11936 11357 36839 128
5 0.00180611 0.00103327 4405 22665 22857 70747 26
6 0.0008569 0.000621381 8866 44551 45590 139465 309
7 0.000696744 0.000343415 15065 76342 78683 242350 146
8 0.000447106 0.000222455 28789 139043 148957 444085 500
