# It Res Res_NE SizeTrial SizeTest SizeTestResNE SizeTestRes CGLS_Its
0 0.00869312 0.00662412 320 591 928 2287 154
1 0.00620288 0.00514459 480 1721 1705 4750 54
2 0.00494427 0.00391591 751 3271 3248 9793 15
3 0.00332336 0.00254596 1443 6817 6847 20880 25
4 0.00197641 0.00164277 2562 13671 12928 41746 132
5 0.00162005 0.000989441 4566 24244 23348 74890 28
6 0.000607257 0.000625803 8433 44619 43979 139866 311
7 0.000435218 0.000347701 15266 78723 80345 249954 57
8 0.000291434 0.00019693 28116 139183 147177 446813 217
9 0.000224965 0.000103056 58427 268952 295700 856501 342
10 0.0002097 5.33376e-05 113715 511619 566645 1625738 146
11 0.000187475 3.40185e-05 207225 942644 1034535 3004122 500
12 0.000170433 1.90957e-05 421640 1890320 2084693 6009806 500
